,id,name,is_base,ingredient_category_id,parent_id,notes
60,2086,Fresh Milk,0,,0.0,
61,2087,Sherry,0,,0.0,
62,57,Apple Brandy,1,15.0,,
63,430,Lime Juice,0,,686.0,
64,2088,Fresh Mint,0,13.0,0.0,
65,2089,Swedish Punch,0,,0.0,
66,95,Egg Yolk,0,,302.0,
67,221,Green Chartreuse,0,,168.0,
68,103,Maraschino cherry,0,0.0,,
69,2090,"Lemon Juice, slightly sweetened",0,,0.0,
70,2091,Old Mr. Boston Sloe Gin,0,15.0,0.0,
71,2092,Stout,0,,0.0,
72,204,Grapefruit Juice,1,,,
73,2096,Old Mr. Boston Cherry Nectar,0,,0.0,
74,2094,Blood Orange,0,13.0,0.0,
75,2095,Crushed Strawberries,0,,0.0,
76,830,Boiling water,0,,510.0,
77,2097,Lemon Juice or Lime Juice,0,,0.0,
78,763,Blended Scotch whiskey,0,,182.0,
79,66,Benedictine,1,,,
80,35,Orange curacao,0,,702.0,
81,547,Apricot nectar,1,11.0,,
82,834,"Orange wheel, superfine sugar",0,0.0,,
83,334,Dark crème de cacao,1,,,
84,832,Hot brewed coffee,1,,,
85,836,"Whipped cream, ground cinnamon, cinnamon stick",0,0.0,,
86,2098,Orange Peel,0,13.0,0.0,
87,567,Irish Whiskey,1,15.0,,
88,52,Brandy,1,,,
89,2099,Syphon Water,0,,0.0,
90,2100,Shaved ice,0,,0.0,
91,2101,Seltzer water,0,,0.0,
92,2102,Orange,0,13.0,0.0,
93,98,Milk,1,,,
94,81,Freshly grated nutmeg,1,,,
95,2105,Sparkling water,0,,0.0,
96,2106,Port Wine,0,,0.0,
97,2546,Sugar (or to taste),0,11.0,0.0,
98,2236,Green Mint,0,,0.0,
99,2107,"Sugar, dissolved",0,,0.0,
100,2108,Pineapple ,0,,0.0,
101,291,Fresh lime,0,,686.0,
102,97,Ginger ale,1,,,
103,55,White creme de menthe,0,,715.0,
104,686,Lime,1,,,
105,2109,Claret,0,,0.0,
106,2110,Sparkling White Wine,0,,0.0,
107,2111,Cherry,0,13.0,0.0,
108,110,Grand Marnier,0,,702.0,
109,2114,Mint,0,,0.0,
110,20,Cognac,1,,,
111,2115,Chartreuse,0,,,
112,2112,Old Mr. Boston Blackberry Nectar,0,,0.0,
113,2116,Cider,0,,0.0,
114,2117,Orange or Pineapple,0,13.0,0.0,
115,2118,Lemon or Lime,0,,0.0,
116,201,Fresh mint leaf,0,0.0,,
117,210,Maraschino cherry or green olive,0,0.0,,
118,211,Green olive,0,0.0,,
119,2119,Cordial,0,,0.0,
120,2120,Strained Currant Juice,0,,0.0,
121,277,Dry gin,0,,16.0,
122,2121,Sweetened Lemon Jnice,0,,0.0,
123,2122,Crushed ice,0,,0.0,
124,2123,Crème de Menthe,0,,,
125,490,Lemonade,1,,,
126,399,White Curacao,0,,21.0,
127,1007,lemons,0,,506.0,
128,1016,Peach brandy,1,,,
129,2124,Grapefruit,0,,0.0,
130,2125,Lime Rind,0,,0.0,
131,2126,Sugar Syrup,0,11.0,0.0,
132,2127,cracked ice,0,,0.0,
133,16,Gin,1,,,
134,793,Orange sherbet,1,,,
135,2129,Grape Juice,0,,,
136,189,Kummel,1,,,
137,2130,Bromo Seltzer,0,,0.0,
138,2132,Jamaica Ginger,0,,0.0,
139,2133,Crushed Pineapple,0,,0.0,
140,2128,Grapefruit Juice or Lemon Juice,0,,0.0,
141,14,Vermouth,1,,,
142,2134,Clove Syrup,0,,0.0,
143,2135,white wine,0,,0.0,
144,2569,Sugar (crushed in a little water),0,,0.0,
145,2570,Crushed fresh green mint,0,,0.0,
146,356,Orange blossom water,1,,,
147,495,Warm milk,0,,98.0,
148,92,Sugar cube,1,,,
149,2183,Old Mr. Boston Orange Flavored Gin ,0,,0.0,
150,2251,Old Thompson Blended Whiskey,0,15.0,0.0,
151,2136,Palmetto juice,0,,0.0,
152,2137,Peach,0,,0.0,
153,53,Orange juice,1,,,
154,2138,Vinegar,0,,0.0,
155,40,Worcestershire Sauce,0,6.0,,
156,2139,Tabasco Sauce,0,,,
157,340,Salt and freshly ground pepper,1,,,
158,2140,Tomato Catsup,0,,0.0,
159,42,Freshly ground black pepper,1,,,
160,23,Light Rum,1,15.0,,
161,320,Lemon zest spiral,0,0.0,,
162,2141,Rhine Wine,0,,0.0,
163,2142,Tea,0,,0.0,
164,31,Rock candy syrup,1,,,
165,733,Strawberries,0,,607.0,
166,87,Raspberry Syrup or Grenadine,0,,172.0,
167,2573,Rum,0,15.0,23.0,
168,2280,Lemon Peel (if desired),0,13.0,0.0,
169,2143,Sweet Cider,0,,0.0,
170,38,Vodka,1,,,
171,255,151-Proof Rum,1,15.0,,151-proof
172,2144,Pineapple Syrup,0,11.0,0.0,
173,765,Sauternes or other sweet wine,1,,,
174,867,Cold beer,1,,,
175,540,Superfine sugar,1,,,
176,2145,Old Mr. Boston Nectar,0,17.0,0.0,
177,677,Vanilla Ice Cream,1,,,
178,165,Sloe gin,1,,,
179,2260,Old Mr. Boston Tequila,0,15.0,0.0,
180,598,Cayenne Pepper,1,,,
181,2131,"Egg, raw and beaten",0,,0.0,
182,460,Fresh lemon or lime juice,0,,506.0,
183,22,Fresh lemon juice,0,,506.0,
184,1015,Hot water,0,,510.0,
185,24,Fresh Lime Juice,0,,686.0,
186,2113,Pony Grenadine,0,,0.0,
187,180,Fresh or maraschino cherry,0,0.0,,
188,2150,Old Mr. Boston Apricot Flavored Brandy,0,,0.0,
189,2166, Old Mr. Boston Triple Sec,0,,0.0,
190,2162,Old Mr. Boston Rye or Bourbon Whiskey,0,15.0,,
191,2199,Pure Maple Syrup,0,,0.0,
192,2146,Juice 1/4 Orange,0,11.0,0.0,
193,2149,Absinthe Substitute,0,,0.0,
194,2153,Old Mr. Boston Anisette ,0,,0.0,
195,2151,Old Mr. Boston Curacao,0,,0.0,
196,2148,Old Mr. Boston California Brandy,0,,0.0,
197,2147,Old Mr. Boston Creme de Cacao,0,17.0,0.0,
198,2172,Old Mr. Boston Creme de Menthe,0,17.0,0.0,
199,2173,Old Mr. Boston Kummel,0,,0.0,
200,2154,Old Mr. Boston Imported Rum,0,15.0,,
201,2174,Creme Yvette,0,,0.0,
202,2167,Juice of Orange,0,,,
203,2152,Old Mr. Boston Green Creme de Menthe,0,17.0,,
204,2155,Old Mr. Boston Vodka,0,15.0,0.0,
205,2165,Old Mr. Boston White Creme de Menthe,0,17.0,0.0,
206,2168,Molasses,0,11.0,,
207,2171, Old Mr. Boston Wild Cherry Flavored Brandy ,0,,0.0,
208,2169,Juice of a Blood Orange,0,,0.0,
209,39,Tomato Juice,1,,,
210,206,Salt,1,,,
211,388,Celery Salt,1,,,
212,2170,Pepper,0,,0.0,
213,2175,Blue Vegetable Coloring,0,,0.0,
214,2196,Sherry Wine,0,,0.0,
215,2163,Old Mr. Boston Bourbon Whiskey,0,15.0,0.0,
216,5,Simple Syrup,1,,,
217,2216,Sweet Cream (if desired),0,11.0,0.0,
218,96,Hard cider,1,,,
219,2176,Old Mr. Boston Wild Cherry Flavored Brandy,0,17.0,0.0,
220,2212,Hot Black Coffee,0,,0.0,
221,2157,Old  Mr.  Boston White Creme de Menthe,0,,,
222,921,Crème de Cassis,0,17.0,83.0,
223,2178,Spiral Rind of Lemon,0,,,
224,2177,Old Mr. Boston Wild Cherry Flavored Brandy,0,17.0,0.0,
225,2218,Baking Soda,0,,0.0,
226,2213,Muscatel Wine,0,,0.0,
227,344,Cola,1,,,
228,2246,Old Mr. Boston Creme de Menthe (White),0,17.0,0.0,
229,9,Sweet Vermouth,1,,,
230,2180, Old Mr. Boston Peach Flavored Brandy,0,17.0,0.0,
231,2437,Mr. Boston Dry Gin,0,15.0,0.0,
232,2197,Old Mr. Boston White Creme de Cacao,0,,0.0,
233,2215,Light Sweet Cream,0,,0.0,
234,2507,Ice Cubes,0,,0.0,
235,2576,Frozen Orange Juice,0,11.0,53.0,
236,2237,California Sauterne Wine,0,15.0,0.0,
237,2219,Butter,0,,0.0,
238,323,Ground cinnamon,1,,,
239,142,Maple Syrup,1,,,
240,2198,Dry White Wine,0,,0.0,
241,136,Lemon or Orange Sherbet,1,,,
242,2181,Holland Gin,0,,0.0,
243,2179,Black Raspberry Syrup,0,11.0,0.0,
244,19,Dry Vermouth,1,,,
245,2193,"Lemon, peeled and quartered",0,,,
246,2192,Raspberry Juice,0,11.0,0.0,
247,983,"Champagne, chilled",0,,496.0,
248,2191,Sarsaparilla ,0,12.0,0.0,
249,2188,Old Mr. Boston Mint Flavored Gin,0,,0.0,
250,2248,Old Mr. Boston Creme de Menthe (Green),0,17.0,0.0,
251,2189,Old Mr. Boston Five Star Brandy,0,,0.0,
252,2220,Mixed Cinnamon and Nutmeg,0,11.0,0.0,
253,2190,Orange Flower Water,0,,0.0,
254,2187,Old Mr. Boston Blackberry Flavored Brandy,0,17.0,0.0,
255,209,Grenadine or Raspberry Syrup,0,,,
256,2160,Old  Mr.  Boston White Creme de Menthe,0,17.0,0.0,
257,2200,Passion Fruit,0,,0.0,
258,2217,Old Mr. Boston Imported Light Rum,0,15.0,0.0,
259,2203,V8 Juice,0,,0.0,
260,2194,Old Mr. Boston Rye Whiskey,0,15.0,0.0,
261,2204,Beer,0,,0.0,
262,839,Hot milk,0,,98.0,
263,588,Rhubarb Syrup,1,,,
264,296,Passion Fruit Juice,1,,,
265,2184,Plum or Apricot Juice,0,11.0,0.0,
266,2205,"Demerara Rum, 151 proof",0,15.0,0.0,
267,2186,Porto Rican Gold Label Rum,0,15.0,0.0,
268,2209,Dry Sherry Wine,0,,0.0,
269,2206,Old Mr. Boston Scotch Whiskey,0,15.0,,
270,2365,Prepared Dairy Eggnog,0,,0.0,
271,21,Triple Sec,1,,,
272,2208,Old Mr. Boston Kentucky Bourbon Whiskey,0,15.0,0.0,
273,2436,Mr. Boston Five Star Brandy,0,15.0,0.0,
274,2211,Old Mr. Boston Canadian Whisky,0,15.0,0.0,
275,969,Eggs,0,,302.0,
276,2276,Granulated Sugar,0,11.0,0.0,
277,2158,Old  Mr.  Boston White Creme de Menthe,0,,0.0,
278,2210,Old Mr. Boston Naturally Golden Dry Gin,0,15.0,0.0,
279,2297,Unsweetened Grapefruit Juice,0,,0.0,
280,809,Honey,1,,,
281,542,Whole Egg,0,,302.0,
282,2328,Cinnamon,0,,0.0,
283,2411,Very Hot Black Coffee,0,,0.0,
284,373,Blended whiskey,0,15.0,604.0,
285,2214,Mint Leaves,0,,0.0,
286,779,Tequila,1,,,
287,80,Heavy cream,1,,,
288,2207,Juice of Lemon or Lime,0,,0.0,
289,83,Crème de Cassis,1,,,
290,2201,Unsweetened Pineapple Juice,0,,,
291,2221,Expresso Coffee Liqueur,0,17.0,0.0,
292,2222,Kahlua (Coffee Liqueur),0,17.0,0.0,
293,102,Coffee-flavored brandy,0,,289.0,
294,930,Light cream,1,,,
295,2279,Orange Bitters (if desired),0,14.0,0.0,
296,897,"Frozen orange juice concentrate, thawed",0,,53.0,
297,862,"Lemon, cut into quarters",0,,506.0,
298,2230,Orgeat or any almond flavored syrup,0,,0.0,
299,2349,Old Mr. Boston Kentucky Straight Bourbon Whiskey,0,15.0,0.0,
300,2225,Campari Bitters,0,,0.0,
301,2226,Sweet or Dry Vermouth,0,,0.0,
302,2326,Fresh Pineapple Juice,0,,0.0,
303,2295,Orange or lemon peel spiral,0,13.0,0.0,
304,2235,Crème de Almond Liqueur,0,17.0,,
305,2282,Old Mr. Boston Creme de Cacao (White),0,17.0,0.0,
306,168,Green Chartreuse,1,,,
307,2228,Grapefruit or Lemon Juice,0,,0.0,
308,2229,Heavy Sweet Cream,0,2.0,0.0,
309,2232,Juice of a small orange,0,11.0,0.0,
310,729,Ripe banana,1,,,
311,2278,Cognac or Old Mr. Boston Five Star Brandy,0,15.0,0.0,
312,2223,Old Mr. Boston Vodka or Old Mr. Boston Imported Rum,0,15.0,0.0,
313,259,Cranberry Juice,1,,,
314,2224,Clam Juice,0,,0.0,
315,2302,"Wine (Port, Sherry, Claret, Burgundy, or Madeira)",0,15.0,0.0,
316,2303,Dried Orange Peel,0,11.0,0.0,
317,1005,Cinnamon sticks,0,,135.0,
318,2227,Georgia Moon Corn Whiskey,0,15.0,0.0,
319,2351,Old Mr. Boston Vodka or Dry Gin,0,15.0,0.0,
320,2233,Old Mr. Boston Rock & Rye,0,,0.0,
321,2234,White Port Wine,0,,0.0,
322,257,Drambuie,1,,,
323,2242,Old Mr. Boston Blended Whiskey,0,15.0,0.0,
324,2238,Old Mr. Boston Rum,0,15.0,0.0,
325,2239,Forbidden Fruit,0,17.0,0.0,
326,2240,Desmond & Duff Scotch Whisky,0,15.0,0.0,
327,2241,Old Mr. Boston Lemon Vodka,0,15.0,0.0,
328,2243,Old Mr. Boston Bourbon,0,15.0,0.0,
329,2244,Old Mr. Boston Coffee Flavored Brandy,0,15.0,0.0,
330,2245,Amaretto di Saronno,0,17.0,0.0,
331,6,Angostura Bitters,1,14.0,,
332,2247,Old Mr. Boston Apple Flavored Brandy,0,17.0,0.0,
333,2156,Old Mr. Boston Gin ,0,15.0,0.0,
334,111,Chilled Champagne,0,,496.0,
335,76,Madeira,1,,,
336,727,"Medium banana, sliced",0,,729.0,
337,681,Mint Sprigs,0,13.0,0.0,
338,2249,Old Mr. Boston Creme de Banana,0,17.0,0.0,
339,2250,Old Mr. Boston 100 proof Vodka,0,15.0,0.0,
340,474,Chilled beer or ale,0,,867.0,
341,56,Port,1,,,
342,691,"Espresso liqueur, such as Stirrings",1,,,
343,2258,Strong Black Coffee,0,,0.0,
344,128,Kirschwasser,1,,,
345,2257,Coffee,0,,0.0,
346,2261,Pepper and Salt,0,,0.0,
347,2267,Chilled Carbonated Water,0,12.0,0.0,
348,84,Fresh seasonal fruit,0,0.0,,
349,310,Passion Fruit Syrup,0,,296.0,
350,2268,Old Mr. Boston 151 proof Rum,0,15.0,0.0,
351,69,Tawny port,0,,56.0,
352,90,"Pineapple, orange, or lemon slice; maraschino cherry",0,0.0,,
353,953,"Orange slice, maraschino cherry",0,0.0,,
354,315,Sweet Sherry,1,,,
355,2265,Chilled Beef Bouillon,0,,0.0,
356,2266,Salt and Pepper,0,,0.0,
357,45,Strega,1,,,
358,2269,Old Mr. Boston Five Star Canadian Whisky,0,,0.0,
359,668,Cherry brandy,1,,,
360,2466,Juice of a Lime (if desired),0,11.0,0.0,
361,2270,Strong Tea (optional),0,,0.0,
362,1034,Assorted fresh fruits,1,13.0,,such as berries and melon balls
363,2271,Rind of Cucumber,0,13.0,0.0,
364,353,Fresh mint sprig,0,0.0,,
365,2273,Sauterne,0,15.0,0.0,
366,2272,Lemon or Pineapple Sherbet,0,11.0,0.0,
367,2259,Chilled Stout,0,,0.0,
368,114,Cherry liqueur,0,,178.0,
369,2274,Old Mr. Boston Cherry Vodka,0,15.0,0.0,
370,2275,Danish Cherry Wine,0,15.0,0.0,
371,906,Apple cider,0,11.0,154.0,heated
372,2277,Burgundy,0,15.0,0.0,
373,64,Orange and/or lemon zest spiral,0,,109.0,
374,170,Cream sherry,1,,,
375,339,Cold beef bouillon,1,,,
376,2432,Mr. Boston Triple Sec,0,17.0,0.0,
377,2441,Mr. Boston Anisette,0,,0.0,
378,2281,Ripe Olive,0,13.0,0.0,
379,235,Fino sherry,0,,101.0,
380,2283,Carbonated Water (if desired),0,12.0,0.0,
381,240,Seasonal fresh fruit,0,0.0,,
382,36,Orgeat Syrup,1,,,
383,2284,Old Mr. Boston Dark Rum,0,15.0,0.0,
384,2285,Lemon or Orange,0,13.0,0.0,
385,2286,Lemon and lime,0,13.0,0.0,
386,2287,pineapple stick,0,13.0,0.0,
387,2288,pineapple chunks (canned),0,11.0,0.0,
388,2289,lemon and a pineapple chunk,0,13.0,0.0,
389,2290,Claret or Sweet Cider,0,15.0,0.0,
390,2291,Orange slice and a cherry,0,13.0,0.0,
391,89,Fresh mint leaves,1,,,
392,2292,Rose's Lime Juice,0,11.0,0.0,
393,2293,Quinine Water,0,12.0,0.0,
394,2296,Fruit,0,13.0,0.0,
395,2298,Orange and a cherry,0,13.0,0.0,
396,2299,lemon and a cherry,0,13.0,0.0,
397,2301,pineapple and strawberries,0,13.0,0.0,
398,2304,Cardamom Seeds,0,11.0,0.0,
399,1012,Whole cloves,1,,,
400,2305,blanched almonds,0,11.0,0.0,
401,2306,seedless raisins,0,11.0,0.0,
402,2307,lump sugar,0,11.0,0.0,
403,311,Galliano,1,,,
404,2308,unbroken egg yolk,0,13.0,0.0,
405,2311,Old Mr. Boston Lime Vodka,0,15.0,0.0,
406,2312,Wink soda,0,12.0,0.0,
407,2300,Old Mr. Boston Rock and Rye,0,,0.0,
408,251,Pineapple chunks,0,,660.0,
409,2314,orange or lemon peel spiral (or both),0,13.0,0.0,
410,2316,dry ginger ale,0,13.0,0.0,
411,2333,Olive,0,13.0,0.0,
412,2334,Mountain Dew,0,12.0,0.0,
413,253,Sake,1,,,
414,2337,square of butter,0,2.0,0.0,
415,2309,Old Mr. Boston Peppermint Schnapps,0,,0.0,
416,2338,Powdered Sugar to taste,0,11.0,0.0,
417,2202,Old Mr. Boston Light Rum,0,15.0,0.0,
418,829,Whipped cream,0,0.0,,
419,2339,"Fresh raspberries, strawberries, a cherry, and two peach slices",0,13.0,0.0,
420,2340,Old Mr. Boston Rum (Dark),0,15.0,0.0,
421,2310,Hot Coffee,0,,0.0,
422,2345,Lime Peel,0,13.0,0.0,
423,2313,chopped Mint Leaves,0,,0.0,
424,2346,"orange, lemon, and a cherry",0,13.0,0.0,
425,2347,"Lemon, peeled and quartered",0,11.0,0.0,
426,2348,Lemon and Lime Soda,0,12.0,0.0,
427,2319,Lime Liqueur,0,17.0,0.0,
428,2434,Mr. Boston Sloe Gin,0,15.0,0.0,
429,2320,Well-Chilled Champagne,0,,0.0,
430,2321,Orgeat or Almond Flavored Syrup,0,,0.0,
431,2322,Cola Drink,0,,0.0,
432,2323,Lemon or Lime Juice,0,,0.0,
433,149,Crème de noyaux,1,,,
434,2350,"orange, lemon, pineapple and a cherry",0,13.0,0.0,
435,241,Ginger beer,1,,,
436,194,Campari,1,,,
437,2332,Papaya Syrup,0,,0.0,
438,2335,Old Mr. Boston Peppermint Vodka,0,15.0,0.0,
439,676,Peppermint candy stick,1,,,
440,2336,Coconut Milk,0,,0.0,
441,500,Rum-soaked black cherry,0,0.0,,
442,586,Pineapple or grapefruit juice,0,,118.0,
443,501,"Lemon, orange, and pineapple slices; maraschino cherry",0,0.0,,
444,2352,Mint dipped in powdered sugar,0,13.0,0.0,
445,2353,lime and a cherry,0,13.0,0.0,
446,2341,Old Mr. Boston Grape Vodka,0,15.0,0.0,
447,265,Apple juice,1,11.0,,
448,2354,bitter-lemon soda,0,12.0,0.0,
449,2355,slices of lemon studded with cloves,0,13.0,0.0,
450,2325,Peychaud Bitters,0,14.0,0.0,
451,2255,Old Mr. Boston Triple Sec,0,17.0,0.0,
452,192,Amontillado sherry,1,,,
453,2342,chilled Rhine wine or Sauterne,0,,0.0,
454,2356,Old. Mr. Boston Blended or Bourbon Whiskey,0,15.0,0.0,
455,2357,Carbonated water or cider,0,12.0,0.0,
456,2344,Fresh Fruits (Cubes or Balls),0,,0.0,
457,2330,Chilled Tomato Juice,0,,0.0,
458,642,Unsweetened Grape Juice,1,,,
459,2327,Grated Nutmeg,0,,0.0,
460,2329,Grated Cloves,0,,0.0,
461,47,Peychaud's Bitters,1,14.0,,
462,2554,Nutmeg,0,11.0,0.0,
463,2254,Apricot Flavored Brandy,0,,0.0,
464,2252,Kentucky Tavern Bourbon,0,15.0,0.0,
465,2253,Apple Flavored Brandy,0,,0.0,
466,2256,Ice-cold Beer,0,,0.0,
467,982,Bottle sweet vermouth,0,,9.0,
468,2264,Old Kentucky Tavern Bourbon Whiskey,0,15.0,0.0,
469,2263,Mr. Boston Crème de Cassis,0,,,
470,2463,Tea (Optional),0,12.0,0.0,
471,2294,Mr. Boston Crème de Noyaux ,0,,,
472,2318,Yellowstone Bourbon,0,15.0,0.0,
473,2317,Collins Mix,0,,0.0,
474,2324,Old Kentucky Tavern Straight Bourbon Whiskey,0,15.0,0.0,
475,459,Angostura bitters,0,14.0,6.0, (optional)
476,2331,Coconut Cream,0,,0.0,
477,8,Rye Whiskey,1,,,
478,2343,Old Kentucky Tavern Bourbon or Old Thompson Blended Whiskey,0,15.0,0.0,
479,2430,Mr. Boston Original Strawberry Schnapps,0,17.0,0.0,
480,2431,Mr. Boston Apricot Flavored Brandy,0,15.0,0.0,
481,2433,Mr. Boston Gin,0,15.0,0.0,
482,2359,Southern Comfort,0,15.0,0.0,
483,2435,Mr. Boston Creme de Cacao (White),0,17.0,0.0,
484,2438,Mr. Boston Creme de Menthe (Green),0,17.0,0.0,
485,2439,Mr. Boston Lemon Vodka,0,15.0,0.0,
486,2442,Mr. Boston Blackberry Flavored Brandy,0,15.0,0.0,
487,2440,Mr. Boston Rum,0,15.0,0.0,
488,2443,Mr. Boston Coffee Flavored Brandy,0,15.0,0.0,
489,2363,Lemon Juice (No Sugar),0,,0.0,
490,2444,Mr. Boston creme de Menthe (White),0,15.0,0.0,
491,2445,Mr. Boston Creme de Cacao (Brown),0,17.0,0.0,
492,2446,Shadow Creek Champagne,0,15.0,0.0,
493,2447,Mr. Boston Apple Brandy,0,15.0,0.0,
494,2448,Mr. Boston Apple Schnapps,0,17.0,0.0,
495,308,Cream of coconut,1,,,
496,67,half-and-half,1,,,
497,2449,Mr. Boston Cinnamon Schnapps,0,17.0,0.0,
498,2450,Mr. Boston Cherry Flavored Brandy,0,15.0,0.0,
499,2451,Mr. Boston Vodka,0,15.0,0.0,
500,2452,Curacao (White),0,17.0,0.0,
501,2453,Chilled Shadow Creek Champagne,0,15.0,0.0,
502,2427,"Banana, Peeled and Sliced",0,,0.0,
503,2454,Mr. Boston Creme de Banana,0,17.0,0.0,
504,2455,Mr. Boston 100 proof Vodka,0,15.0,0.0,
505,2376,Ginger Ale or Carbonated Water,0,,0.0,
506,2409,Gavilan Tequila,0,15.0,0.0,
507,2367,Beef Bouillon,0,,0.0,
508,197,Blue curacao,1,,,
509,2368,Blue Food Coloring,0,,0.0,
510,2362,Club Soda,0,12.0,0.0,
511,2456,750 ml bottles Chilled Shadow Creek Champagne,0,15.0,0.0,
512,2457,750 ml bottle Sweet Vermouth,0,15.0,0.0,
513,2369,Light Cream (if desired),0,,0.0,
514,2464,Mr. Boston Five Star Canadian Whisky,0,15.0,0.0,
515,2465,Mr. Boston Vodka or Mr. Boston Rum,0,15.0,0.0,
516,2467,750 ml bottles Shadow Creek Champagne,0,15.0,0.0,
517,2468,750 ml bottle Sauterne,0,15.0,0.0,
518,2469,Mr. Boston Dark Rum,0,15.0,0.0,
519,2470,Meyer's Rum,0,15.0,0.0,
520,2471,Mr. Boston Cherry Vodka,0,15.0,0.0,
521,2565,Cherry Cola,0,,0.0,
522,2472,750 ml bottle Claret,0,15.0,0.0,
523,2473,Valley Ridge Burgundy,0,15.0,0.0,
524,2423,Raspberry Yogurt,0,,0.0,
525,2424,Raspberry Ice Cream,0,,0.0,
526,2474,Juice of a lime or lemon,0,11.0,0.0,
527,2461,Mr. Boston Peach Flavored Brandy,0,17.0,0.0,
528,426,Vanilla liqueur,1,,,
529,2420,Balfour Cream Sherry,0,17.0,0.0,
530,2475,Mr. Boston Schnapps,0,17.0,0.0,
531,2386,Tonic,0,,0.0,
532,2480,"750 ml bottle Wine (Port, Balfour Cream Sherry, Claret, Valley Ridge Burgundy, or Madeira)",0,15.0,0.0,
533,135,Cinnamon stick,1,13.0,,
534,2388,Cloves,0,,0.0,
535,2459,Mr. Boston Light Rum,0,15.0,0.0,
536,2462,Mr. Boston Lime Vodka,0,15.0,0.0,
537,384,Lemon-lime soda,1,,,
538,2476,Mr. Boston Rock & Rye,0,,0.0,
539,2390,Very Warm Orange Juice,0,,0.0,
540,2478,Mr. Boston Peppermint Schnapps,0,17.0,0.0,
541,2481,Corbet Canyon Chenin Blanc Wine,0,15.0,0.0,
542,2482,Mr. Boston White Rum,0,15.0,0.0,
543,2392,Banana,0,,0.0,
544,911,Coffee Ice Cream,1,,,
545,912,Ground coriander,0,0.0,,
546,2483,Mr. Boston Rum (Dark),0,15.0,0.0,
547,2385,Light Vermouth,0,,0.0,
548,2484,Mr. Boston Orange Flavored Gin,0,15.0,0.0,
549,2485,Lemon/Lime Soda,0,12.0,0.0,
550,2404,Mandarine Napoleon Liqueur,0,17.0,0.0,
551,2410,Root Beer,1,12.0,,
552,433,Melon liqueur,1,,,
553,2486,Mr. Boston Mint Flavored Gin,0,15.0,0.0,
554,711,Bourbon,1,15.0,,
555,2494,Creme de Cacao (White),0,17.0,0.0,
556,2495,Creme de Menthe (White),0,17.0,0.0,
557,2414,Catsup,0,,0.0,
558,2381,Lemon Soda,0,12.0,0.0,
559,2477,Corbett Canyon Vineyard Rhine Wine,0,,0.0,
560,627,Bitter lemon soda,1,,,
561,509,Light or dark rum,0,,23.0,
562,2488,750ml bottle Corbett Canyon Vineyard Red or Rose Wine,0,15.0,0.0,
563,2487,Roses Lime Juice,0,,0.0,
564,2418,Pernod,0,,0.0,
565,2566,Felipe ll Spanish Brandy,0,,0.0,
566,796,Whole strawberries,0,,607.0,
567,2489,Fresh or Frozen Strawberries,0,,0.0,
