,master_recipe_id,id,name,edition_year,ingredient_id_0,recipe_ingredient_type_0,measurement_id_0,amount_0,ingredient_id_1,recipe_ingredient_type_1,measurement_id_1,amount_1,ingredient_id_2,recipe_ingredient_type_2,measurement_id_2,amount_2,ingredient_id_3,recipe_ingredient_type_3,measurement_id_3,amount_3,ingredient_id_4,recipe_ingredient_type_4,measurement_id_4,amount_4,ingredient_id_5,recipe_ingredient_type_5,measurement_id_5,amount_5,ingredient_id_6,recipe_ingredient_type_6,measurement_id_6,amount_6,ingredient_id_7,recipe_ingredient_type_7,measurement_id_7,amount_7,ingredient_id_8,recipe_ingredient_type_8,measurement_id_8,amount_8,ingredient_id_9,recipe_ingredient_type_9,measurement_id_9,amount_9,ingredient_id_10,recipe_ingredient_type_10,measurement_id_10,amount_10,ingredient_id_11,recipe_ingredient_type_11,measurement_id_11,amount_11,ingredient_id_12,recipe_ingredient_type_12,measurement_id_12,amount_12,ingredient_id_13,recipe_ingredient_type_13,measurement_id_13,amount_13,ingredient_replacement_suggestions,instructions,glass_id,notes,year_introduced
10,15.0,15,Alabazam,2012,50.0,Main,4.0,2,22.0,Main,4.0,2,35.0,Main,4.0,1/2,5.0,Main,4.0,1/2,6.0,Main,2.0,2,47.0,Main,2.0,2,51.0,Garnish,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"World famous Peychaud’s Bitters were created by Antoine Amedie Peychaud in New Orleans in the early 1800s.  It is a proprietary recipe that includes several different herbs and spices.  The Peychaud’s flavor profile is a zesty blend of anise, nutmeg and clove notes with a slightly sweet, floral taste.",Shake with ice and strain into ice-filled old-fashioned glass. Flame orange twist and add.,27,,2012
11,16.0,16,American Beauty Cocktail,2012,52.0,Main,4.0,1/2,19.0,Main,4.0,1/2,53.0,Main,4.0,1/2,54.0,Main,4.0,1/2,55.0,Main,2.0,1,56.0,Main,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shake first five ingredients with ice and strain into chilled cocktail glass. Top with port.,44,,1935
12,17.0,17,Apple Brandy Cocktail,2012,57.0,Main,4.0,1 1/2,54.0,Main,10.0,1,22.0,Main,10.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,44,,1960
13,18.0,18,Apple Brandy Highball,2012,57.0,Main,4.0,2,58.0,Main,0.0,2,59.0,Garnish,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pour brandy into ice-filled highball glass. Fill with ginger ale or
soda water. Add lemon twist, if desired, and stir.",21,,1960
14,19.0,19,Apple Brandy Rickey,2012,57.0,Main,4.0,1 1/2,22.0,Main,4.0,1/2,60.0,Main,0.0,1 1/2,61.0,Garnish,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stir brandy and lime juice in highball glass. Add ice, fill with soda water, and stir again. Add lime.",21,,1960
15,20.0,20,Apple Brandy Sour,2012,57.0,Main,4.0,2,22.0,Main,4.0,3/4,5.0,Main,4.0,3/4,62.0,Garnish,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shake with ice and strain into chilled cocktail glass. Garnish with
lemon and cherry.",44,,1960
16,21.0,21,Apricot Brandy Rickey,2012,63.0,Main,4.0,2,22.0,Main,4.0,1/2,60.0,Main,0.0,2,61.0,Garnish,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stir brandy and lime juice in highball glass. Add ice, fill with soda water, and stir again. Add lime.",21,,1957
17,22.0,22,Apricot Cooler,2012,64.0,Main,0.0,1/2,63.0,Main,4.0,2,65.0,Main,0.0,2,2081.0,For the Glass,0.0,Unkown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Insert citrus spiral and dangle end over rim of Collins glass. Add brandy and ice. Fill with soda water or ginger ale, and stir.",13,,1935
18,23.0,23,Apricot Fizz,2012,63.0,Main,4.0,2,22.0,Main,4.0,1,24.0,Main,4.0,1/2,5.0,Main,10.0,1,60.0,Main,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shake first four ingredients with ice. Strain into ice-filled highball
glass. Fill with soda water and stir.",21,,1957
19,24.0,24,B & B,2012,52.0,Main,4.0,1/2,66.0,Main,4.0,1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Combine ingredients in cordial glass.,30,,1957
20,25.0,25,Babbies Special Cocktail,2012,63.0,Main,4.0,1 1/2,16.0,Main,4.0,1/2,67.0,Main,4.0,1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,44,,1935
21,26.0,26,Bee Stinger,2012,68.0,Main,4.0,1 1/2,55.0,Main,4.0,1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,44,,1984
22,27.0,27,Betsy Ross,2012,52.0,Main,4.0,1 1/2,69.0,Main,4.0,1 1/2,21.0,Main,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stir with ice and strain into chilled cocktail glass.,44,,1974
23,28.0,28,Bistro Sidecar,2012,70.0,For the Glass,0.0,,52.0,Main,4.0,1 1/2,71.0,Main,4.0,1/2,72.0,Main,4.0,1/2,73.0,Main,4.0,1/2,22.0,Main,4.0,1/4,5.0,Main,4.0,1/4,74.0,Garnish,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rim chilled cocktail glass with tangerine and sugar. Shake
ingredients with ice. Strain into glass. Add hazelnut.",44,,2012
24,29.0,29,Black Feather,2012,52.0,Main,4.0,1,19.0,Main,4.0,1,21.0,Main,4.0,1/2,6.0,Main,2.0,1,18.0,Garnish,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"World famous Peychaud’s Bitters were created by Antoine Amedie Peychaud in New Orleans in the early 1800s.  It is a proprietary recipe that includes several different herbs and spices.  The Peychaud’s flavor profile is a zesty blend of anise, nutmeg and clove notes with a slightly sweet, floral taste.",Stir and strain into chilled cocktail glass. Add lemon twist.,44,,2012
25,30.0,30,Bombay Cocktail,2012,52.0,Main,4.0,1,19.0,Main,4.0,1/2,9.0,Main,4.0,1/2,21.0,Main,4.0,1/4,75.0,Main,10.0,1/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stir with ice and strain into chilled cocktail glass.,44,"Harry Craddock, an American bartender who landed at Londona's Savoy
after Prohibition, chronicled many of his creations in his 1930 Savoy
Cocktail Book.",1935
26,31.0,31,Bosom Caresser,2012,52.0,Main,4.0,1,76.0,Main,4.0,1,21.0,Main,4.0,1/2,547.0,Main,18.0,2/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stir with ice and strain into chilled cocktail glass.,44,,1935
27,32.0,32,Brandied Madeira,2012,52.0,Main,4.0,1,76.0,Main,4.0,1,19.0,Main,4.0,1/2,18.0,Garnish,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stir with ice and strain into ice-filled old-fashioned glass. Add
lemon twist.",27,,1974
28,33.0,33,Brandied Port,2012,52.0,Main,4.0,1,69.0,Main,4.0,1,22.0,Main,4.0,1/2,77.0,Main,10.0,1,78.0,Garnish,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shake with ice and strain into ice-filled old-fashioned glass. Garnish
with orange.",27,,1974
29,34.0,34,Brandy Alexander No. 1,2012,52.0,Main,4.0,3/4,334.0,Main,4.0,3/4,80.0,Main,4.0,3/4,81.0,Garnish,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shake well with ice and strain into chilled cocktail glass. Top with
nutmeg.",44,,1984
30,35.0,35,Brandy Alexander No. 2,2012,52.0,Main,4.0,1,82.0,Main,4.0,1,67.0,Main,4.0,1,81.0,Garnish,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hartley Brandy with its sweet caramel and butterscotch aromatics are a great pair for the chocolate and rich cream in the Brandy Alexander.,Shake with ice and strain into chilled cocktail glass. Top with nutmeg.,44,Half-and-half is often used in cocktails to give them a luscious creaminess. Milk is used less often.,1935
31,36.0,36,Brandy Cassis,2012,52.0,Main,4.0,1 1/2,22.0,Main,4.0,1,83.0,Main,4.0,1,18.0,Garnish,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shake with ice and strain into chilled cocktail glass. Add lemon
twist.",44,p,1974
32,37.0,37,Brandy Cobbler,2012,52.0,Main,4.0,2,5.0,Main,10.0,1,60.0,Main,4.0,2,84.0,Garnish,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hartley Brandy's smooth buttery aroma along with flavors of rich fruits make it a great choice for the classic brandy cobbler. Notes of orange peel, apricots and vanilla are accentuated by the tart alcohol that leaves a crisp balanced finish to this classic cocktail.","Combine brandy, syrup, and soda water in red-wine glass. Fill glass
with shaved ice. Garnish with fruit. Serve with straws.",34,"According to Jerry Thomas circa 1862, a cobbler—a class of drink all its own—is a simply a spirit or wine sweetened with sugar and fresh fruit, and served over ice. Most early versions used wine as a base spirit, but eventually cobblers of all different sorts began cropping up in American bars. Dale DeGroff is generally credited with standardizing the additional step of muddling the fruits and spirits, making for an exceptionally fresh-tasting drink. These cocktails are fairly flexible as far as ingredients go, so always opt for something seasonal. The Fruit is largely responsible for the flavor here, so the riper, the better. Mr. Thomas actually calls for a whopping four ounces in base spirit in his cobbler recipe, but most people knock it down an ounce or two if only for the pleasure of enjoying more than one.",1935
33,38.0,38,Brandy Cocktail,2012,52.0,Main,4.0,2,5.0,Main,10.0,1,6.0,Main,2.0,2,18.0,Garnish,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"World famous Peychaud’s Bitters were created by Antoine Amedie Peychaud in New Orleans in the early 1800s.  It is a proprietary recipe that includes several different herbs and spices.  The Peychaud’s flavor profile is a zesty blend of anise, nutmeg and clove notes with a slightly sweet, floral taste.","Stir ingredients with ice and strain into chilled cocktail glass. Add
lemon twist.",44,,1935
34,39.0,39,Brandy Collins,2012,52.0,Main,4.0,2,22.0,Main,4.0,3/4,5.0,Main,4.0,3/4,60.0,Main,0.0,1,85.0,Garnish,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shake brandy, lemon juice, and syrup and strain into ice-filled
Collins glass. Fill with soda water and stir. Garnish with citrus and
cherry. Serve with straws.",13,,1935
35,40.0,40,Brandy Crusta,2012,86.0,For the Glass,0.0,1,52.0,Main,4.0,2,21.0,Main,4.0,1/2,77.0,Main,10.0,1,22.0,Main,10.0,1,6.0,Main,2.0,1,78.0,Garnish,0.0,2,2102.0,Garnish,16.0,1,,,,,,,,,,,,,,,,,,,,,,,,,"Hartley Brandy's rich buttery aroma along with notes of orange peel and apricot, make it a excellent choice for the Brandy Crusta. It's sweet fruit flavors enhance the fruit  while it's crisp balanced finish cuts the tart lemon producing a balanced cocktail.

Instead of Angostura bitters, consider New Orleans' own Peychaud’s Bitters - a zesty blend of anise, nutmeg and clove notes with a slightly sweet, floral taste.","Rim chilled cocktail glass with lemon and sugar. Curl the zest spiral
on its side in glass. Stir ingredients with ice and strain into glass.
Garnish with orange.",44,"There's a good chance you've never seen or heard of a Brandy Crusta, which is an unfortunate result of the circle of life of cocktails. The Crusta is actually the precursor to many a cocktail, including the Sidecar, the Cosmopolitan, and even the Margarita in a sense, but there is a noticeable difference at play in these recipes—proportions. The Brandy Crusta is essentially a healthy dose of brandy seasoned with mere dashes of other flavoring ingredients. This style of drink allows the drinker to really appreciate the base spirit without being overwhelmed by its potency. Perhaps the most impressive part of this cocktail is its lemon-shell garnish. Getting it right can take a bit of effort, but it's worth the trouble. If you're having trouble getting it to stay in place, try frosting the rim of the glass and the lemon peel and then letting them sit until a hard crust is formed. 
",1935
36,41.0,41,Brandy Daisy,2012,52.0,Main,4.0,2,22.0,Main,4.0,1,5.0,Main,10.0,1,87.0,Main,4.0,1/4,84.0,Garnish,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"It's smooth fruit flavor and buttery aromatics enhance the rich raspberry notes of the Brandy Daisy, while its crisp balanced finish cuts the tart lemon, producing a sweet balanced cocktail.","Shake with ice and strain into beer mug or 8-oz. metal cup. Add ice.
Garnish with fruit.",24,"The Daisy is another one of those categories of drinks that have fallen out of the general public's pool of knowledge over the last century or so. Like cobblers, flips, and other classes of drinks, the Daisy itself is fairly flexible when it comes to ingredients. One of the earliest recorded Daisy recipes is Jerry Thomas's Brandy Daisy, dating back to 1862. Unlike most standard recipes at the time, his called for Curaçao and a few drops of Jamaican rum, one of Brandy's closest spirit companions. Most other classic recipes tend to favor grenadine or raspberry syrup over Curaçao and omit the rum. In our version, raspberry marries beautifully with lemon, making this cocktail the perfect drink to sip on a sunny afternoon on the porch.",1935
37,42.0,42,Brandy Fix,2012,52.0,Main,4.0,2 1/2,22.0,Main,4.0,3/4,5.0,Main,4.0,3/4,88.0,Garnish,0.0,2 1/2,506.0,Garnish,16.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stir brandy, lemon juice, and syrup in shaved ice filled highball
glass. Add lemon. Serve with straws.",21,,1935
38,43.0,43,Brandy Fizz,2012,52.0,Main,4.0,2,22.0,Main,4.0,3/4,5.0,Main,4.0,3/4,60.0,Main,0.0,Fill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shake brandy, lemon juice, and syrup with ice and strain into ice-filled
highball glass. Fill with soda water and stir.",21,,1935
39,44.0,44,Brandy Gump Cocktail,2012,52.0,Main,4.0,1 1/2,22.0,Main,4.0,3/4,54.0,Main,4.0,1/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,44,,1935
40,45.0,45,Brandy Highball,2012,52.0,Main,4.0,2,58.0,Main,0.0,2,18.0,Garnish,0.0,1,4.0,Garnish,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pour brandy into ice-filled highball glass. Fill with ginger ale or
soda water. Add lemon twist and stir gently.",21,,1935
41,46.0,46,Brandy Julep,2012,52.0,Main,4.0,2 1/2,5.0,Main,4.0,1/2,89.0,Main,0.0,5-6,90.0,Garnish,0.0,2-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stir brandy, syrup, and mint in Collins glass. Fill with shaved ice and stir until mint rises to top, being careful not to bruise leaves. (Do not hold sides of glass while stirring to frost exterior.) Garnish with fruit. Serve with straws.",13,,1935
42,47.0,47,Brandy Sangaree,2012,52.0,Main,4.0,2,5.0,Main,4.0,1/2,60.0,Main,0.0,2,56.0,Main,4.0,1/2,81.0,Garnish,0.0,1,2554.0,Main,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Add brandy and syrup to highball glass. Add ice, fill with soda
water, and stir. Float port on top and top with nutmeg.",21,,1935
43,48.0,48,Brandy Sling,2012,52.0,Main,4.0,2,22.0,Main,4.0,3/4,91.0,Main,4.0,3/4,18.0,Garnish,0.0,2,4.0,Garnish,78.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stir in old-fashioned glass. Fill with ice and stir again. Add lemon
twist.",27,,1957
44,49.0,49,Brandy Smash,2012,92.0,Main,0.0,1,60.0,Main,4.0,1,89.0,Main,0.0,4,52.0,Main,4.0,2,93.0,Garnish,0.0,1,4.0,Garnish,78.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Muddle sugar with soda water and mint in old-fashioned glass. Add
brandy and ice. Stir and add lemon twist. Garnish with orange and
cherry.",27,,1935
45,50.0,50,Brandy Sour,2012,52.0,Main,4.0,2,22.0,Main,4.0,3/4,5.0,Main,4.0,3/4,62.0,Garnish,0.0,1/2,2111.0,Garnish,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shake with ice and strain into chilled cocktail glass. Garnish with
lemon and cherry.",44,,1935
46,51.0,51,Brandy Swizzle,2012,52.0,Main,4.0,2,24.0,Main,4.0,3/4,5.0,Main,4.0,3/4,6.0,Main,2.0,2,60.0,Main,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"World famous Peychaud’s Bitters were created by Antoine Amedie Peychaud in New Orleans in the early 1800s.  It is a proprietary recipe that includes several different herbs and spices.  The Peychaud’s flavor profile is a zesty blend of anise, nutmeg and clove notes with a slightly sweet, floral taste.","Stir brandy, lime juice, syrup, and bitters in Collins glass. Add ice
and enough soda to fill glass ¾ full. Swizzle with barspoon to frost
glass. Add more ice and soda as needed. Serve with swizzle stick.",13,,1957
47,52.0,52,Brandy Toddy,2012,52.0,Main,4.0,2,5.0,Main,10.0,1,18.0,Garnish,0.0,2,15.0,Main,69.0,1,4.0,Garnish,78.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stir brandy and syrup in old-fashioned glass. Add 1 ice cube and
lemon twist.",27,,1935
48,53.0,53,Brandy Vermouth Cocktail,2012,52.0,Main,4.0,2,9.0,Main,4.0,1/2,6.0,Main,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"World famous Peychaud’s Bitters were created by Antoine Amedie Peychaud in New Orleans in the early 1800s.  It is a proprietary recipe that includes several different herbs and spices.  The Peychaud’s flavor profile is a zesty blend of anise, nutmeg and clove notes with a slightly sweet, floral taste.",Stir with ice and strain into chilled cocktail glass.,44,,1935
49,54.0,54,Brunswick Street Cocktail,2012,20.0,Main,4.0,1 1/2,94.0,Main,4.0,1 1/2,95.0,Main,0.0,1,81.0,Garnish,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shake without ice. Add ice and shake again. Strain into chilled
cocktail glass. Top with nutmeg.",44,,2012
50,55.0,55,Bulldog Cocktail,2012,91.0,Main,4.0,1 1/2,16.0,Main,4.0,3/4,22.0,Main,4.0,1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,44,,1935
51,56.0,56,Bulla's Eye,2012,52.0,Main,4.0,1,96.0,Main,4.0,2,97.0,Main,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stir brandy and hard cider in highball glass. Add ice, fill with ginger
ale, and stir again.",21,,2012
